City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Erenhot,CN,43.6475,111.9767,0.95,88,6,9.13,clear sky
174,Salalah,OM,17.0151,54.0924,73.49,64,20,2.3,few clouds
175,Lesnoy,RU,57.6198,63.0784,19.99,94,100,5.08,overcast clouds
176,Russellville,US,35.2784,-93.1338,37.13,83,47,8.99,scattered clouds
177,Fukue,JP,32.6881,128.8419,39.56,56,75,14.97,broken clouds
178,Sept-Iles,CA,50.2001,-66.3821,0.05,64,75,3.0,broken clouds
179,Narsaq,GL,60.9167,-46.05,-2.45,61,11,13.51,few clouds
180,Veisiejai,LT,54.1,23.7,33.89,98,100,10.2,overcast clouds
181,Bereznik,RU,62.8551,42.7072,-8.46,100,99,3.44,overcast clouds
182,Bangolo,CI,7.0069,-7.475,73.71,35,8,3.13,clear sky
183,Maceio,BR,-9.6658,-35.7353,78.24,78,20,4.61,few clouds
184,Torbay,CA,47.6666,-52.7314,32.76,96,100,12.66,mist
185,Cabo San Lucas,MX,22.8909,-109.9124,74.61,59,0,8.05,clear sky
186,Ostrovnoy,RU,68.0531,39.5131,8.71,91,100,16.49,overcast clouds
187,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,78,0,5.99,clear sky
188,Kruisfontein,ZA,-34.0033,24.7314,63.88,73,100,5.64,overcast clouds
189,Djibo,BF,14.1022,-1.6306,68.95,11,8,10.29,clear sky
190,Constitucion,CL,-35.3333,-72.4167,64.24,76,18,16.96,few clouds
191,Dwarka,IN,22.2394,68.9678,68.9,59,1,7.02,clear sky
192,Half Moon Bay,US,37.4636,-122.4286,67.8,44,0,5.75,clear sky
193,Conde,BR,-7.2597,-34.9075,80.06,78,20,9.22,few clouds
194,Ninghai,CN,29.2892,121.4247,36.73,84,1,3.96,clear sky
195,Trinidad,BO,-14.8333,-64.9,85.98,70,75,6.91,broken clouds
196,Manoel Urbano,BR,-8.8389,-69.2597,74.82,97,81,3.11,broken clouds
197,Lelydorp,SR,5.7,-55.2333,78.73,86,40,4.61,scattered clouds
198,Twin Falls,US,42.3505,-114.6445,27.93,80,0,8.05,clear sky
199,Saskylakh,RU,71.9167,114.0833,-6.83,99,100,5.91,overcast clouds
200,Karratha,AU,-20.7377,116.8463,85.17,67,98,7.83,overcast clouds
201,Opuwo,NA,-18.0607,13.84,68.81,51,67,2.53,broken clouds
202,Oranjemund,NA,-28.55,16.4333,63.73,85,4,13.13,clear sky
203,Lovozero,RU,68.005,35.0117,7.16,93,100,12.12,overcast clouds
204,Talnakh,RU,69.4865,88.3972,1.2,95,99,6.4,overcast clouds
205,Iqaluit,CA,63.7506,-68.5145,-16.87,52,75,3.44,broken clouds
206,Casper,US,42.8666,-106.3131,36.19,41,0,27.63,clear sky
207,Berlevag,NO,70.8578,29.0864,22.01,84,100,32.35,light snow
208,Tongliao,CN,43.6125,122.2653,-5.24,85,2,7.9,clear sky
209,Ugoofaaru,MV,5.6667,73.0,81.09,68,8,11.86,clear sky
210,Dawson Creek,CA,55.7666,-120.2362,-0.44,88,92,4.74,overcast clouds
211,Pundaguitan,PH,6.3711,126.1689,80.01,79,100,16.71,overcast clouds
212,Sanary-Sur-Mer,FR,43.1178,5.8001,55.89,68,65,5.99,broken clouds
213,Lincoln,US,40.8,-96.667,30.58,29,0,1.99,clear sky
214,Ruston,US,32.5232,-92.6379,35.29,82,100,7.0,overcast clouds
215,Te Anau,NZ,-45.4167,167.7167,55.54,52,24,3.98,few clouds
216,Mar Del Plata,AR,-38.0023,-57.5575,69.1,85,100,1.01,light rain
217,Port Macquarie,AU,-31.4333,152.9167,73.36,53,75,17.27,broken clouds
218,Price,US,39.5994,-110.8107,36.66,32,0,0.0,clear sky
219,Husavik,IS,66.0449,-17.3389,21.11,93,100,4.34,light snow
220,Pimentel,PE,-6.8367,-79.9342,73.69,68,0,23.02,clear sky
221,North Bend,US,43.4065,-124.2243,53.24,91,100,6.91,overcast clouds
222,Gabrovo,BG,42.8747,25.3342,30.27,77,21,3.2,few clouds
223,Guerrero Negro,MX,27.9769,-114.0611,66.88,19,0,7.61,clear sky
224,Chimoio,MZ,-19.1164,33.4833,71.46,100,75,2.46,broken clouds
225,Upernavik,GL,72.7868,-56.1549,-1.37,98,94,4.79,overcast clouds
226,Kavieng,PG,-2.5744,150.7967,83.19,71,90,6.49,overcast clouds
227,Marystown,CA,47.1666,-55.1483,36.86,100,100,3.0,overcast clouds
228,Carnot,CF,4.9409,15.8665,71.53,22,96,3.58,overcast clouds
229,Red Bluff,US,40.1785,-122.2358,66.69,25,0,3.44,clear sky
230,Brae,GB,60.3964,-1.353,40.91,59,100,29.53,overcast clouds
231,Storsteinnes,NO,69.2408,19.2344,21.2,87,84,8.05,broken clouds
232,Peleduy,RU,59.6289,112.7406,5.32,98,100,4.0,overcast clouds
233,Pangnirtung,CA,66.1451,-65.7125,-18.4,69,40,6.91,scattered clouds
234,Riyadh,SA,24.6877,46.7219,64.54,61,54,11.63,broken clouds
235,Cumpas,MX,29.9833,-109.7833,59.68,17,0,13.73,clear sky
236,Alta Floresta,BR,-9.8756,-56.0861,75.02,94,75,3.44,thunderstorm
237,Katsuura,JP,35.1333,140.3,44.62,52,48,16.2,scattered clouds
238,Shache,CN,38.4167,77.2406,22.91,48,43,3.71,scattered clouds
239,Dharchula,IN,29.85,80.5333,32.11,76,9,9.24,clear sky
240,Saint-Joseph,RE,-21.3667,55.6167,79.16,84,100,22.32,light rain
241,San Patricio,US,28.017,-97.5169,47.08,51,57,17.22,broken clouds
242,Dryden,CA,49.7833,-92.7503,1.69,60,0,5.75,clear sky
243,Hovd,MN,48.0056,91.6419,-11.24,78,8,3.69,clear sky
244,Shingu,JP,33.7333,135.9833,39.9,61,29,16.4,scattered clouds
245,Road Town,VG,18.4167,-64.6167,73.99,88,20,10.36,few clouds
246,Kamenka,RU,51.3223,42.7678,11.25,98,95,6.96,overcast clouds
247,Mahebourg,MU,-20.4081,57.7,79.25,94,75,11.5,broken clouds
248,Qaqortoq,GL,60.7167,-46.0333,2.68,62,15,19.6,few clouds
249,Kohlu,PK,29.8962,69.252,45.77,31,2,2.48,clear sky
